frame,time,x,y,z,phi,theta,psi,thrust_ratio,thrust,vectoring_angle,torque
1,0.0,83.02603146600498,0.0,2000.0,0.0,0.11410512065995093,0.0,0.5927409849643221,34888.734375,-0.052912248378513334,-46129.50259767793
2,0.1,82.92605927728972,0.0,1998.5789088932602,0.0,0.11410512065995093,0.0,0.587582359093612,34585.09765625,-0.05512737122162115,-47640.49924493872
3,0.2,82.8128459214139,0.0,1997.1752573045596,0.0,0.11336704861838809,0.0,0.5829983222901801,34315.28125,-0.054801505938144306,-46989.699036121834
4,0.30000000000000004,82.6865066362794,0.0,1995.7880396932628,0.0,0.11186672858890623,0.0,0.5795696355759429,34113.46875,-0.05300772770125724,-45185.768982182024
5,0.4,82.54722770248418,0.0,1994.4163721013529,0.0,0.10961457337484641,0.0,0.5762766654986409,33919.64453125,-0.05044618017097761,-42759.77113196079
6,0.5,82.39525474275058,0.0,1993.059605310996,0.0,0.10663944585707168,0.0,0.5731129746432212,33733.4296875,-0.047375837675919984,-39938.793077957176
7,0.6,82.23091296252889,0.0,1991.717125421334,0.0,0.10298016200118558,0.0,0.5700722583248387,33554.453125,-0.04394137568785534,-36848.85986097943
8,0.7,82.05460284886729,0.0,1990.3883515436353,0.0,0.09868185745605217,0.0,0.567148875509684,33382.3828125,-0.04023173018694935,-33566.718609851785
9,0.7999999999999999,81.86679493917092,0.0,1989.0727332968197,0.0,0.09379397115314309,0.0,0.5643371851639484,33216.88671875,-0.03630864140135633,-30144.87627031183
10,0.8999999999999999,81.66802405767186,0.0,1987.769748296777,0.0,0.08836901735247638,0.0,0.561632209904859,33057.671875,-0.032220352114375767,-26623.638579449733
11,0.9999999999999999,81.45888325065012,0.0,1986.4788995773772,0.0,0.08246174553148466,0.0,0.559186788566089,32913.734375,-0.028000373565818762,-23036.91093660309
12,1.0999999999999999,81.24001753234434,0.0,1985.1997131272913,0.0,0.07612849549322176,0.0,0.5571210419852192,32792.14453125,-0.02369085275997632,-19420.029972361343
13,1.2,81.01211498385734,0.0,1983.931766317447,0.0,0.06942665487997321,0.0,0.5550592109454638,32670.78515625,-0.01935269177494333,-15805.704226594067
